Heart rate,Timestamp,Date,Time,
97,1574069909246,"Nov 18, 2019",1:38:29 AM,
96,1574069911231,"Nov 18, 2019",1:38:31 AM,
95,1574069912033,"Nov 18, 2019",1:38:32 AM,
94,1574069914809,"Nov 18, 2019",1:38:34 AM,
94,1574069920379,"Nov 18, 2019",1:38:40 AM,
93,1574069921572,"Nov 18, 2019",1:38:41 AM,
98,1574069925142,"Nov 18, 2019",1:38:45 AM,
99,1574069925948,"Nov 18, 2019",1:38:45 AM,
98,1574069928731,"Nov 18, 2019",1:38:48 AM,
97,1574069932307,"Nov 18, 2019",1:38:52 AM,
98,1574069934287,"Nov 18, 2019",1:38:54 AM,
97,1574069937071,"Nov 18, 2019",1:38:57 AM,
97,1574069942633,"Nov 18, 2019",1:39:02 AM,
95,1574069947008,"Nov 18, 2019",1:39:07 AM,
97,1574069960915,"Nov 18, 2019",1:39:20 AM,
100,1574069963622,"Nov 18, 2019",1:39:23 AM,
104,1574069970056,"Nov 18, 2019",1:39:30 AM,
103,1574069970791,"Nov 18, 2019",1:39:30 AM,
105,1574069972050,"Nov 18, 2019",1:39:32 AM,
103,1574069974441,"Nov 18, 2019",1:39:34 AM,
105,1574069975233,"Nov 18, 2019",1:39:35 AM,
104,1574069978013,"Nov 18, 2019",1:39:38 AM,
103,1574069979933,"Nov 18, 2019",1:39:39 AM,
104,1574069981986,"Nov 18, 2019",1:39:41 AM,
109,1574069983975,"Nov 18, 2019",1:39:43 AM,
106,1574069985164,"Nov 18, 2019",1:39:45 AM,
109,1574069986361,"Nov 18, 2019",1:39:46 AM,
108,1574069988354,"Nov 18, 2019",1:39:48 AM,
107,1574069993112,"Nov 18, 2019",1:39:53 AM,
107,1574069998291,"Nov 18, 2019",1:39:58 AM,
107,1574070003052,"Nov 18, 2019",1:40:03 AM,
107,1574070010208,"Nov 18, 2019",1:40:10 AM,
107,1574070012209,"Nov 18, 2019",1:40:12 AM,
108,1574070014188,"Nov 18, 2019",1:40:14 AM,
107,1574070016176,"Nov 18, 2019",1:40:16 AM,
106,1574070018954,"Nov 18, 2019",1:40:18 AM,
105,1574070021345,"Nov 18, 2019",1:40:21 AM,
104,1574070024130,"Nov 18, 2019",1:40:24 AM,
105,1574070026517,"Nov 18, 2019",1:40:26 AM,
104,1574070028098,"Nov 18, 2019",1:40:28 AM,
103,1574070030882,"Nov 18, 2019",1:40:30 AM,
102,1574070035180,"Nov 18, 2019",1:40:35 AM,
104,1574070037175,"Nov 18, 2019",1:40:37 AM,
103,1574070037974,"Nov 18, 2019",1:40:37 AM,
105,1574070039968,"Nov 18, 2019",1:40:39 AM,
102,1574070040766,"Nov 18, 2019",1:40:40 AM,
101,1574070044341,"Nov 18, 2019",1:40:44 AM,
102,1574070047969,"Nov 18, 2019",1:40:47 AM,
101,1574070049163,"Nov 18, 2019",1:40:49 AM,
100,1574070054333,"Nov 18, 2019",1:40:54 AM,
100,1574070059099,"Nov 18, 2019",1:40:59 AM,
101,1574070063800,"Nov 18, 2019",1:41:03 AM,
100,1574070064199,"Nov 18, 2019",1:41:04 AM,
101,1574070066974,"Nov 18, 2019",1:41:06 AM,
99,1574070069366,"Nov 18, 2019",1:41:09 AM,
97,1574070071353,"Nov 18, 2019",1:41:11 AM,
96,1574070074539,"Nov 18, 2019",1:41:14 AM,
95,1574070078584,"Nov 18, 2019",1:41:18 AM,
95,1574070083746,"Nov 18, 2019",1:41:23 AM,
94,1574070084141,"Nov 18, 2019",1:41:24 AM,
93,1574070087323,"Nov 18, 2019",1:41:27 AM,
94,1574070090135,"Nov 18, 2019",1:41:30 AM,
93,1574070095273,"Nov 18, 2019",1:41:35 AM,
94,1574070097975,"Nov 18, 2019",1:41:37 AM,
95,1574070099650,"Nov 18, 2019",1:41:39 AM,
94,1574070104423,"Nov 18, 2019",1:41:44 AM,
93,1574070107599,"Nov 18, 2019",1:41:47 AM,
94,1574070109183,"Nov 18, 2019",1:41:49 AM,
93,1574070111177,"Nov 18, 2019",1:41:51 AM,
92,1574070113557,"Nov 18, 2019",1:41:53 AM,
